Sortorder,Code,CodeLevel,Level1,Level2,Level3,Level4,Level5,Level6
20,"A",1,"A",,,,,
30,"01",2,"A","01",,,,
40,"011",3,"A","01","011",,,
50,"0111",4,"A","01","011","0111",,
60,"0112",4,"A","01","011","0112",,
70,"0113",4,"A","01","011","0113",,
80,"0114",4,"A","01","011","0114",,
90,"0115",4,"A","01","011","0115",,
110,"0116",4,"A","01","011","0116",,
130,"0119",4,"A","01","011","0119",,
140,"012",3,"A","01","012",,,
150,"0121",4,"A","01","012","0121",,
160,"0122",4,"A","01","012","0122",,
170,"0123",4,"A","01","012","0123",,
180,"0124",4,"A","01","012","0124",,
190,"0125",4,"A","01","012","0125",,
200,"0126",4,"A","01","012","0126",,
210,"0127",4,"A","01","012","0127",,
220,"0128",4,"A","01","012","0128",,
230,"0129",4,"A","01","012","0129",,
240,"013",3,"A","01","013",,,
250,"0130",4,"A","01","013","0130",,
260,"014",3,"A","01","014",,,
270,"0141",4,"A","01","014","0141",,
280,"0142",4,"A","01","014","0142",,
290,"0143",4,"A","01","014","0143",,
300,"0144",4,"A","01","014","0144",,
310,"0145",4,"A","01","014","0145",,
320,"0146",4,"A","01","014","0146",,
330,"0149",4,"A","01","014","0149",,
340,"015",3,"A","01","015",,,
350,"0150",4,"A","01","015","0150",,
360,"016",3,"A","01","016",,,
370,"0161",4,"A","01","016","0161",,
380,"0162",4,"A","01","016","0162",,
390,"0163",4,"A","01","016","0163",,
400,"0164",4,"A","01","016","0164",,
410,"017",3,"A","01","017",,,
420,"0170",4,"A","01","017","0170",,
430,"02",2,"A","02",,,,
440,"021",3,"A","02","021",,,
450,"0210",4,"A","02","021","0210",,
460,"022",3,"A","02","022",,,
470,"0220",4,"A","02","022","0220",,
480,"023",3,"A","02","023",,,
490,"0230",4,"A","02","023","0230",,
500,"024",3,"A","02","024",,,
510,"0240",4,"A","02","024","0240",,
520,"03",2,"A","03",,,,
530,"031",3,"A","03","031",,,
540,"0311",4,"A","03","031","0311",,
550,"0312",4,"A","03","031","0312",,
560,"032",3,"A","03","032",,,
570,"0321",4,"A","03","032","0321",,
580,"0322",4,"A","03","032","0322",,
590,"B",1,"B",,,,,
600,"05",2,"B","05",,,,
610,"051",3,"B","05","051",,,
620,"0510",4,"B","05","051","0510",,
630,"052",3,"B","05","052",,,
640,"0520",4,"B","05","052","0520",,
650,"06",2,"B","06",,,,
660,"061",3,"B","06","061",,,
670,"0610",4,"B","06","061","0610",,
680,"062",3,"B","06","062",,,
690,"0620",4,"B","06","062","0620",,
700,"07",2,"B","07",,,,
710,"071",3,"B","07","071",,,
720,"0710",4,"B","07","071","0710",,
730,"072",3,"B","07","072",,,
740,"0721",4,"B","07","072","0721",,
750,"0729",4,"B","07","072","0729",,
760,"08",2,"B","08",,,,
770,"081",3,"B","08","081",,,
780,"0810",4,"B","08","081","0810",,
790,"089",3,"B","08","089",,,
800,"0891",4,"B","08","089","0891",,
810,"0892",4,"B","08","089","0892",,
820,"0893",4,"B","08","089","0893",,
830,"0899",4,"B","08","089","0899",,
840,"09",2,"B","09",,,,
850,"091",3,"B","09","091",,,
860,"0910",4,"B","09","091","0910",,
870,"099",3,"B","09","099",,,
880,"0990",4,"B","09","099","0990",,
890,"C",1,"C",,,,,
900,"10",2,"C","10",,,,
910,"101",3,"C","10","101",,,
920,"1010",4,"C","10","101","1010",,
930,"102",3,"C","10","102",,,
940,"1020",4,"C","10","102","1020",,
950,"103",3,"C","10","103",,,
960,"1030",4,"C","10","103","1030",,
970,"104",3,"C","10","104",,,
980,"1040",4,"C","10","104","1040",,
990,"105",3,"C","10","105",,,
1000,"1050",4,"C","10","105","1050",,
1010,"106",3,"C","10","106",,,
1020,"1061",4,"C","10","106","1061",,
1030,"1062",4,"C","10","106","1062",,
1040,"107",3,"C","10","107",,,
1050,"1071",4,"C","10","107","1071",,
1060,"1072",4,"C","10","107","1072",,
1070,"1073",4,"C","10","107","1073",,
1080,"1074",4,"C","10","107","1074",,
1090,"1075",4,"C","10","107","1075",,
1100,"1079",4,"C","10","107","1079",,
1110,"108",3,"C","10","108",,,
1120,"1080",4,"C","10","108","1080",,
1130,"11",2,"C","11",,,,
1140,"110",3,"C","11","110",,,
1150,"1101",4,"C","11","110","1101",,
1160,"1102",4,"C","11","110","1102",,
1170,"1103",4,"C","11","110","1103",,
1180,"1104",4,"C","11","110","1104",,
1190,"12",2,"C","12",,,,
1200,"120",3,"C","12","120",,,
1210,"1200",4,"C","12","120","1200",,
1220,"13",2,"C","13",,,,
1230,"131",3,"C","13","131",,,
1240,"1311",4,"C","13","131","1311",,
1250,"1312",4,"C","13","131","1312",,
1260,"1313",4,"C","13","131","1313",,
1270,"139",3,"C","13","139",,,
1280,"1391",4,"C","13","139","1391",,
1290,"1392",4,"C","13","139","1392",,
1300,"1393",4,"C","13","139","1393",,
1310,"1394",4,"C","13","139","1394",,
1320,"1399",4,"C","13","139","1399",,
1330,"14",2,"C","14",,,,
1340,"141",3,"C","14","141",,,
1350,"1410",4,"C","14","141","1410",,
1360,"142",3,"C","14","142",,,
1370,"1420",4,"C","14","142","1420",,
1380,"143",3,"C","14","143",,,
1390,"1430",4,"C","14","143","1430",,
1400,"15",2,"C","15",,,,
1410,"151",3,"C","15","151",,,
1420,"1511",4,"C","15","151","1511",,
1430,"1512",4,"C","15","151","1512",,
1440,"152",3,"C","15","152",,,
1450,"1520",4,"C","15","152","1520",,
1460,"16",2,"C","16",,,,
1470,"161",3,"C","16","161",,,
1480,"1610",4,"C","16","161","1610",,
1490,"162",3,"C","16","162",,,
1500,"1621",4,"C","16","162","1621",,
1510,"1622",4,"C","16","162","1622",,
1520,"1623",4,"C","16","162","1623",,
1530,"1629",4,"C","16","162","1629",,
1540,"17",2,"C","17",,,,
1550,"170",3,"C","17","170",,,
1560,"1701",4,"C","17","170","1701",,
1570,"1702",4,"C","17","170","1702",,
1580,"1709",4,"C","17","170","1709",,
1590,"18",2,"C","18",,,,
1600,"181",3,"C","18","181",,,
1610,"1811",4,"C","18","181","1811",,
1620,"1812",4,"C","18","181","1812",,
1630,"182",3,"C","18","182",,,
1640,"1820",4,"C","18","182","1820",,
1650,"19",2,"C","19",,,,
1660,"191",3,"C","19","191",,,
1670,"1910",4,"C","19","191","1910",,
1680,"192",3,"C","19","192",,,
1690,"1920",4,"C","19","192","1920",,
1700,"20",2,"C","20",,,,
1710,"201",3,"C","20","201",,,
1720,"2011",4,"C","20","201","2011",,
1730,"2012",4,"C","20","201","2012",,
1740,"2013",4,"C","20","201","2013",,
1750,"202",3,"C","20","202",,,
1760,"2021",4,"C","20","202","2021",,
1770,"2022",4,"C","20","202","2022",,
1780,"2023",4,"C","20","202","2023",,
1790,"2029",4,"C","20","202","2029",,
1800,"203",3,"C","20","203",,,
1810,"2030",4,"C","20","203","2030",,
1820,"21",2,"C","21",,,,
1830,"210",3,"C","21","210",,,
1840,"2100",4,"C","21","210","2100",,
1850,"22",2,"C","22",,,,
1860,"221",3,"C","22","221",,,
