sortorder,code,title,ExplanatoryNoteInclusion,ExplanatoryNoteExclusion
5340,"9900","Экстерриториальные организации и органы","Эта подгруппа включает:
- деятельность международных организаций, таких как Организация Объединенных Наций и специализированные учреждения системы Организации Объединенных Наций, региональные объединения и т. п., Международный валютный фонд, Всемирный банк, Всемирная таможенная организация, Организация экономического сотрудничества и развития, Организация стран - экспортеров нефти, Европейские сообщества, Европейская ассоциация свободной торговли и т. п.

Эта подгруппа также включает: 
- деятельность дипломатических представительств и консульств в тех случаях, когда она определяется страной пребывания, а не страной, которую эти организации представляют","Эта подгруппа не включает:
управление дипломатическими представительствами и консульствами, размещенными за границей или при отделениях международных организаций, и их функционирование, см. 7521"
5330,"990","Экстерриториальные организации и органы",,
5320,"99","Экстерриториальные организации и органы","См. пояснения к подгруппе 9900.",
5310,"Q","Экстерриториальные организации и органы","Этот раздел позволяет наемным работникам экстерриториальных организаций указывать деятельность их работодателя при проведении переписи или социальных исследований, несмотря на то что работодатель считается находящимся за пределами экономического пространства страны (но в пределах ее географической территории).",
5300,"9700","Недифференцированная деятельность частных домашних хозяйств по производству услуг для собственного использования","Эта подгруппа включает недифференцированную деятельность частных домашних хозяйств по предоставлению услуг для собственного потребления. Эти услуги включают приготовление пищи, обучение, уход за членами частного домашнего хозяйства, а также другие услуги, предоставляемые в частном домашнем хозяйстве для собственного потребления. На практике, если частные домашние хозяйства занимаются также производством множества товаров для собственных нужд, их следует классифицировать по категории недифференцированной товаропроизводящей деятельности частных домашних хозяйств для собственного использования.",
5290,"970","Недифференцированная деятельность частных домашних хозяйств по производству услуг для собственного использования",,
5280,"97","Недифференцированная деятельность частных домашних хозяйств по производству услуг для собственного использования","См. пояснения к подгруппе 9700.",
5270,"9600","Недифференцированная товаропроизводящая деятельность частных домашних хозяйств для собственного использования","Эта подгруппа включает недифференцированную деятельность по производству товаров для собственных нужд в частных домашних хозяйствах, иначе говоря, различные виды деятельности, осуществляемые домашними хозяйствами, в результате которых производятся товары, предназначенные для собственного потребления. Данные виды деятельности включают охоту и сбор даров природы, ведение фермерского хозяйства, строительство жилища и изготовление одежды и других товаров, производимых в пределах частного домашнего хозяйства для собственных нужд. Если частные домашние хозяйства занимаются также производством товаров, реализуемых на рынке, по классификации МСОК их следует отнести к соответствующей товаропроизводящей отрасли промышленности. Если основным видом деятельности таких хозяйств является производство определенных товаров для собственных нужд, то они классифицируются по МСОК в соответствующей категории товаропроизводящей отрасли промышленности.",
5260,"960","Недифференцированная товаропроизводящая деятельность частных домашних хозяйств для собственного использования",,
5250,"96","Недифференцированная товаропроизводящая деятельность частных домашних хозяйств для собственного использования","См. пояснения к подгруппе 9600.",
5240,"9500","Деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги","Эта подгруппа включает деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги, такой как горничные, повара, официанты, слуги, камердинеры, прачки, садовники, привратники, конюхи, шоферы, дворецкие, гувернантки, приходящие няни, репетиторы, секретари и т. п. Это позволяет наемным работникам при переписи или социальных исследованиях указывать вид деятельности их работодателя, несмотря на то что работодатель является частным лицом.
Продукт, изготовленный для собственного потребления, считается нерыночным и учитывается в национальных счетах в соответствии с затратами на содержание персонала. Эти виды услуг не могут предоставляться компаниями.",
5230,"950","Деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги",,
5220,"95","Деятельность частных домашних хозяйств в качестве работодателей для домашней прислуги","См. пояснения к подгруппе 9500.",
5210,"P","Деятельность частных домашних хозяйств в качестве работодателей и недифференцированная производственная деятельность частных домашних хозяйств","Этот раздел включает деятельность частных домашних хозяйств, которые являются потребителями производимых ими продуктов. Эта деятельность может осуществляться посредством найма домашней прислуги (подраздел 95) или производства товаров или услуг для собственного пользования (подразделы 96 и 97).",
5200,"9309","Предоставление прочих услуг, не включенных в другие категории","Эта подгруппа включает:
- деятельность турецких бань, саун и парных отделений бань, соляриев, салонов для сбавления веса и похудания, массажных салонов и т. п.
- деятельность астрологов и спиритов
- социальные услуги, такие как предоставление сопровождения, службы знакомств, услуги брачных бюро
- услуги по уходу за домашними животными, такие как содержание, уход за шерстью, присмотр в отсутствие хозяина, выучка животных
- услуги организаций, занимающихся исследованием родословных
- услуги чистильщиков обуви, носильщиков, персонала по парковке автомобилей и т. п.
- автоматы самообслуживания, действующие при опускании монеты (фотокабины, весы, устройства для измерения артериального давления, автоматические камеры хранения и т. п.)","Эта подгруппа не включает:
- услуги по предоставлению телефонной связи через уличные телефоны-автоматы, см. 6420
- ветеринарные услуги, см. 8520
- деятельность оздоровительных клубов, см. 9241"
5190,"9303","Организация похорон и связанные с этим услуги","Эта подгруппа включает:
- деятельность, связанную с захоронением и кремацией трупов людей или животных, и связанные с этим услуги:
* подготовку покойников к захоронению или кремации, предоставление услуг по бальзамированию и услуг гробовщиков
* предоставление услуг, связанных с захоронением или кремацией
* аренду оборудованного помещения в салонах для прощания с покойными
- аренду или продажу могил
- содержание могил и мавзолеев и уход за ними","Эта подгруппа не включает:
- деятельность, связанную с религиозными погребальными обрядами, см. 9191"
5180,"9302","Услуги парикмахерских и прочие услуги косметических салонов","Эта подгруппа включает:
- мытье волос, подравнивание и стрижку, укладку, окраску, подцвечивание, завивку, распрямление и аналогичные работы, выполняемые для мужчин и женщин 
- бритье и подравнивание бороды
- массаж лица, маникюр и педикюр, макияж и т. п.","Эта подгруппа не включает:
- изготовление париков, см. 3699"
